Name,Type,Constellation,Magnitude,RAHour,RAMinute,DecSign,DecDeg,DecMinute
UGC 390,Galaxy,Psc,15,0,38.5,+,3,9
MCG 3-2-34,Galaxy,Cet,13,0,39.6,-,14,41
OCL 309,Open Cluster,Cep,8.1,0,44,+,85,20
OCL 301,Open Cluster,Cas,8.8,0,39.6,+,61,4
UGC 397,Galaxy,Psc,14,0,38.9,+,7,2
MCG 2-2-77,Galaxy,Cet,12,0,39,-,9,0
UGC 401,Galaxy,Cet,14,0,39.3,+,0,51
UGC 408,Galaxy,Psc,12.3,0,39.3,+,3,20
UGC 407,Galaxy,Psc,12.1,0,39.3,+,3,2
UGC 405,Galaxy,Cet,14,0,39.3,+,0,54
UGC 406,Galaxy,Cet,15,0,39.4,+,0,53
UGC 414,Galaxy,Psc,12.8,0,39.4,+,2,48
UGC 415,Galaxy,Psc,15,0,39.6,+,3,7
UGC 420,Galaxy,Psc,14,0,39.6,+,2,53
UGC 419,Galaxy,Cet,15,0,39.7,+,0,51
UGC 420,Galaxy,Psc,15,0,39.7,+,3,31
NGC 211,Galaxy,Psc,15,0,39.7,+,3,26
UGC 423,Galaxy,Psc,14,0,39.8,+,3,17
M 110,Galaxy,And,8,0,40.4,+,41,41
MCG 0-2-118,Galaxy,Psc,15,0,40.4,+,2,44
ESO 540-8,Galaxy,Cet,14,0,39.1,-,18,38
MCG 2-2-81,Galaxy,Cet,10.9,0,40.6,-,13,52
UGC 436,Galaxy,Psc,15,0,41.2,+,16,28
UGC 438,Galaxy,And,12.2,0,41.5,+,25,30
ESO 540-15,Galaxy,Cet,13.3,0,41.4,-,21,3
UGC 440,Galaxy,And,15,0,41.8,+,36,21
MCG 0-2-128,Galaxy,Cet,15,0,42.3,+,0,54
ESO 29-SC3,Open Cluster,Tuc,11,0,40.5,-,73,24
M 32,Galaxy,And,8.2,0,42.7,+,40,52
ESO 29-SC4,Open Cluster,Tuc,11,0,40.6,-,73,24
IC 44,Galaxy,Cet,14,0,42.7,+,0,51
M 31,Galaxy,And,3.5,0,42.7,+,41,16
OCL 305,Open Cluster,Cas,7,0,43.4,+,61,47
UGC 459,Galaxy,And,14,0,42.8,+,32,34
UGC 456,Galaxy,Cet,13,0,42.6,-,1,32
UGC 458,Galaxy,And,15,0,42.8,+,23,30
MCG 4-2-49,Galaxy,And,14,0,43,+,23,29
ESO 474-14,Galaxy,Cet,15,0,42.4,-,23,38
ESO 29-SC5,Open Cluster,Tuc,12,0,41,-,73,22
ESO 474-15,Galaxy,Cet,14,0,42.7,-,23,34
UGC 464,Galaxy,And,14,0,43.4,+,30,35
UGC 463,Galaxy,Psc,13,0,43.4,+,14,20
UGC 462,Galaxy,Psc,14,0,43.5,+,2,56
UGC 461,Galaxy,Cet,14,0,43.5,-,0,7
UGC 473,Galaxy,Psc,15,0,45.1,+,6,8
ESO 29-SC6,Open Cluster,Tuc,12,0,43.6,-,73,27
MCG 5-2-43,Galaxy,And,14,0,45.9,+,29,56
MCG 3-3-3,Galaxy,Cet,13.3,0,45.8,-,15,36
UGC 476,Galaxy,Cet,13,0,46.1,-,1,44
PK 118-74.1,Planetary Nebula,Cet,8,0,47,-,11,53
ESO 540-22,Galaxy,Cet,8.9,0,47.1,-,20,46
UGC 487,Galaxy,Psc,15,0,47.3,+,7,55
UGC 490,Galaxy,Psc,14,0,47.8,+,19,34
UGC 491,Galaxy,And,13,0,48,+,27,38
ESO 474-29,Galaxy,Scl,7.1,0,47.6,-,25,17
ESO 411-15,Galaxy,Scl,11.8,0,47.5,-,31,25
MCG 2-3-17,Galaxy,Cet,11.8,0,47.8,-,11,28
ESO 29-SC11,Cluster Nebulosity,Tuc,12,0,45.9,-,73,30
UGC 493,Galaxy,Psc,14,0,48.1,+,8,19
MCG 4-3-5,Galaxy,And,15,0,48.2,+,27,38
UGC 497,Galaxy,And,14,0,48.6,+,27,42
UGC 499;Mrk 348,Galaxy,And,15,0,48.8,+,31,57
MCG 2-3-21,Galaxy,Cet,14,0,48.9,-,13,6
ESO 29-SC14,Globular Cluster,Tuc,12,0,47.6,-,73,29
UGC 508,Galaxy,Psc,13,0,49.8,+,32,16
MCG 1-3-17,Galaxy,Cet,13,0,50.2,-,5,12
ESO 29-SC16,Globular Cluster,Tuc,12,0,48.5,-,73,32
MCG 2-3-27,Galaxy,Cet,13,0,50.7,-,8,39
UGC 519,Galaxy,Cet,13,0,50.8,-,1,53
MCG 1-3-19,Galaxy,Cet,13,0,50.8,-,6,53
MCG 1-3-21,Galaxy,Cet,13,0,51,-,7,3
V V 81;Arp 140,Galaxy,Cet,12.5,0,51.1,-,7,4
IC 1591,Galaxy,Cet,14,0,52.1,-,22,41
MCG 2-3-28,Galaxy,Cet,13,0,51.5,-,8,35
UGC 528,Galaxy,Cas,10.9,0,52.1,+,47,33
UGC 532,Galaxy,Cet,14,0,52.3,-,2,12
UGC 534,Galaxy,And,14,0,52.5,+,24,20
IC 11,Cluster Nebulosity,Cas,7,0,52.8,+,56,37
MCG 5-3-15,Galaxy,Psc,14,0,52.8,+,30,37
MCG 2-3-31,Galaxy,Cet,14,0,53.3,-,13,11
MCG 2-3-33,Galaxy,Cet,15,0,53.6,-,13,9
MCG 2-3-34,Galaxy,Cet,14,0,53.6,-,13,6
ZWG 501. 33,Galaxy,Psc,15,0,53.6,+,32,29
ESO 474-SC37,Globular Cluster,Scl,8.1,0,52.8,-,26,35
ESO 411-25,Galaxy,Scl,12,0,52.7,-,31,12
ESO 29-SC19,Open Cluster,Tuc,12,0,51.3,-,73,9
MCG 2-3-35,Galaxy,Cet,14,0,53.6,-,8,45
MCG 1-3-30,Galaxy,Cet,14,0,54.3,-,7,14
UGC 562,Galaxy,Psc,13,0,55.2,+,31,31
UGC 565,Galaxy,Psc,15,0,55.4,+,31,40
MCG 1-3-33,Galaxy,Cet,13,0,55,-,7,21
ESO 51-SC5,Cluster Nebulosity,Tuc,11,0,54,-,72,10
ESO 295-20,Galaxy,Scl,9,0,54.9,-,37,41
UGC 573,Galaxy,And,14,0,56.1,+,24,7
ESO 29-SC23,Cluster Nebulosity,Tuc,12,0,54.9,-,72,13
UGC 584,Galaxy,Cet,14,0,56.6,-,1,46
MCG 2-3-50,Galaxy,Cet,11.8,0,56.7,-,9,55
UGC 592,Galaxy,Psc,14,0,57.6,+,30,16
UGC 597,Galaxy,Psc,13,0,57.8,+,30,21
ZWG 501. 54,Galaxy,Psc,15,0,58.1,+,30,25
ESO 541-3,Galaxy,Cet,15,0,58.8,-,20,50
UGC 601;4Z 35,Galaxy,Psc,13.2,0,58.4,+,26,52
MCG 1-3-47,Galaxy,Cet,13,0,57.9,-,5,8
MCG 1-3-48,Galaxy,Cet,13,0,58,-,5,4
ESO 29-SC24,Open Cluster,Tuc,9.6,0,56.2,-,72,29
UGC 609,Galaxy,Psc,15,0,58.8,+,7,6
ESO 541-2,Galaxy,Cet,12,0,58.8,-,18,46
MCG 1-3-53,Galaxy,Cet,11.6,0,59.8,-,7,35
UGC 624,Galaxy,Psc,14,1,0.6,+,30,39
ESO 29-SC25,Globular Cluster,Tuc,11.9,0,57.7,-,74,29
MCG 1-3-55,Galaxy,Cet,14,1,0.6,-,6,53
NGC 341A,Galaxy,Cet,13,1,0.8,-,9,11
MCG 1-3-58,Galaxy,Cet,14,1,0.8,-,6,47
MCG 1-3-64,Galaxy,Cet,13,1,1.4,-,6,54
ESO 51-SC10,Cluster Nebulosity,Tuc,10.3,0,59.1,-,72,11
MCG 1-3-63,Galaxy,Cet,14,1,1.4,-,6,49
MCG 1-3-68,Galaxy,Cet,13,1,1.9,-,6,49
MCG 1-3-69,Galaxy,Cet,15,1,2,-,6,49
UGC 639,Galaxy,Cet,14,1,2.1,-,1,55
MCG 1-3-71,Galaxy,Cet,13,1,2.1,-,4,15
UGC 641,Galaxy,Cet,14,1,2.6,-,1,56
UGC 645;Mrk 353,Galaxy,Psc,14,1,3.3,+,22,20
MCG 1-3-77,Galaxy,Cet,15,1,3.2,-,6,20
MCG 1-3-78,Galaxy,Cet,13,1,3.3,-,7,0
MCG 1-3-81,Galaxy,Cet,11.8,1,3.4,-,6,20
UGC 662,Galaxy,Cet,15,1,4.4,-,0,45
ESO 51-SC12,Globular Cluster,Tuc,11.8,1,2.2,-,71,33
Dunlop 62,Globular Cluster,Tuc,6.6,1,3.2,-,70,51
MCG 3-3-23,Galaxy,Cet,15,1,6.1,-,16,34
UGC 666,Galaxy,Cet,14,1,4.6,-,0,51
UGC 680,Galaxy,Psc,14,1,7.1,+,32,46
ESO 412-5,Galaxy,Scl,14,1,6.2,-,30,11
UGC 683,Galaxy,Psc,12.6,1,7.3,+,32,31
UGC 682,Galaxy,Psc,12.5,1,7.3,+,32,29
OCL 317,Open Cluster,Cas,9,1,8.3,+,61,35
UGC 688;Arp 331,Galaxy,Psc,14,1,7.4,+,32,24
UGC 689,Galaxy,Psc,11.9,1,7.4,+,32,25
UGC 686;Arp 331,Galaxy,Psc,13,1,7.4,+,32,18
UGC 687;Arp 331,Galaxy,Psc,12.9,1,7.4,+,32,19
MCG 5-3-57,Galaxy,Psc,14.1,1,7.5,+,32,22
MCG 5-3-59,Galaxy,Psc,14.3,1,7.8,+,32,19
UGC 703,Galaxy,And,15,1,8.5,+,39,42
UGC 693,Galaxy,Cet,14,1,7.5,+,0,56
UGC 700,Galaxy,Psc,14,1,8.4,+,33,7
UGC 707,Galaxy,And,13,1,8.6,+,39,40
MCG 5-3-63,Galaxy,Psc,15,1,8.4,+,33,8
MCG 5-3-64,Galaxy,Psc,15,1,8.5,+,33,6
MCG 5-3-65,Galaxy,Psc,15,1,8.8,+,32,30
UGC 712,Galaxy,Psc,14,1,9,+,32,37
UGC 715,Galaxy,Psc,13,1,9.2,+,32,45
UGC 718,Galaxy,And,10.1,1,9.4,+,35,43
ESO 51-18,Galaxy,Tuc,12,1,7.4,-,69,53
UGC 730,Galaxy,Psc,14,1,10.6,+,33,7
UGC 735,Galaxy,Psc,13,1,11,+,33,9
UGC 744,Galaxy,Psc,14,1,11.3,+,33,6
ESO 29-SC32,Globular Cluster,Tuc,11,1,8.1,-,72,21
ESO 541-24,Galaxy,Cet,15,1,11.1,-,18,10
ESO 412-9,Galaxy,Scl,13,1,10.6,-,30,13
ESO 29-SC33,Globular Cluster,Tuc,10,1,8.3,-,72,53
UGC 752,Galaxy,Psc,13,1,12.1,+,32,6
ESO 412-11,Galaxy,Scl,14,1,11.4,-,29,13
UGC 758,Galaxy,And,13,1,13,+,38,48
UGC 760,Galaxy,Cet,14,1,12.9,-,0,17
ESO 412-14,Galaxy,Scl,15,1,12.5,-,32,3
UGC 763,Galaxy,Cet,11.4,1,12.9,+,0,59
UGC 762,Galaxy,Cet,14,1,13,-,0,20
UGC 765,Galaxy,Cet,13,1,13.1,-,0,15
UGC 776,Galaxy,And,14,1,14.2,+,33,44
ESO 113-23,Galaxy,Tuc,13,1,12.2,-,58,15
UGC 779,Galaxy,Cet,15,1,14,+,2,4
OCL 320,Open Cluster,Cas,8.8,1,15.6,+,58,49
UGC 788,Galaxy,Psc,14,1,14.4,+,5,56
ESO 412-18,Galaxy,Scl,13,1,13.8,-,31,45
ESO 412-19,Galaxy,Scl,14,1,14,-,31,47
UGC 789,Galaxy,Cet,15,1,14.6,-,1,1
IC 1653,Galaxy,Psc,14,1,15.1,+,33,23
IC 1658,Galaxy,Psc,14,1,15.9,+,31,5
ZWG 385. 47,Galaxy,Cet,15,1,14.9,+,1,56
IC 89,Galaxy,Psc,15,1,14.9,+,4,11
IC 1556,Galaxy,Psc,14,1,15.6,+,33,4
UGC 801,Galaxy,Cet,13,1,15.3,-,1,37
IC 1656,Galaxy,Psc,14.3,1,16.1,+,33,5
UGC 806,Galaxy,Cet,12.1,1,15.5,-,0,52
IC 1661,Galaxy,Psc,15,1,16.2,+,33,4
UGC 820,Galaxy,Psc,14,1,16.3,+,31,2
UGC 815;Arp 164,Galaxy,Psc,14,1,16,+,5,11
OCL 321,Open Cluster,Cas,6.4,1,19.1,+,58,20
UGC 832,Galaxy,Psc,15,1,18,+,17,33
UGC 840,Galaxy,Psc,15,1,18.9,+,16,19
UGC 848,Galaxy,Psc,11.9,1,19.2,+,3,18
IC 92,Galaxy,Psc,15,1,19.8,+,32,47
MCG 2-4-23,Galaxy,Psc,15,1,19.4,+,14,53
UGC 858,Galaxy,Psc,11.9,1,19.7,+,3,25
UGC 861,Galaxy,Psc,14,1,19.9,+,14,47
UGC 870,Galaxy,Psc,14,1,20.5,+,32,43
UGC 859,Galaxy,Psc,13,1,19.9,+,16,33
UGC 864,Galaxy,Psc,11.1,1,20.1,+,3,25
MCG 3-4-23,Galaxy,Psc,15,1,20.2,+,16,1
UGC 886,Galaxy,And,14,1,21.3,+,40,29
ESO 476-3,Galaxy,Cet,15,1,20.2,-,22,22
UGC 893,Galaxy,Psc,15,1,21.3,+,3,52
MCG 2-4-30,Galaxy,Cet,14,1,21,-,9,12
UGC 906,Galaxy,Psc,14,1,22,+,33,32
UGC 895,Galaxy,Psc,14,1,21.4,+,7,1
MCG 3-4-56,Galaxy,Cet,14,1,21.8,-,16,21
UGC 907,Galaxy,Psc,10.3,1,21.8,+,5,15
UGC 908,Galaxy,Psc,13,1,21.8,+,9,12
MCG 1-4-35,Galaxy,Psc,15,1,22.1,+,5,22
ESO 352-53,Galaxy,Scl,13,1,21.4,-,34,3
MCG 1-4-38,Galaxy,Psc,15,1,22.2,+,5,25
